ANIO,UBIGEO,DOMINIO_G,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_IDIOMA,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO,SEXO
2020,10101,4,2,29,6,4,10,332336,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Hotelería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2020,10101,4,1,18,6,4,9,321026,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ciencias de la Comunicación,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2020,10101,4,2,51,5,4,10,121016,160000031,14,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Educación Secundaria,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Mujer
2020,10101,4,2,27,6,4,10,713016,260000024,15,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Estomatología,Universidad Inca Garcilaso de la Vega,Lima,Mujer
2020,10101,4,2,24,6,4,10,711026,260000044,14,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Medicina Humana,Universidad Particular de Chiclayo,Lambayeque,Mujer
2020,10101,4,1,68,5,4,10,531016,160000031,14,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2020,10101,4,1,31,2,4,11,713016,260000024,15,Sierra Norte,Casado,Castellano,Maestria/doctorado,Estomatología,Universidad Inca Garcilaso de la Vega,Lima,Hombre
2020,10101,4,2,32,2,4,10,341026,160000001,15,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Economía,Universidad Nacional Mayor de San Marcos,Lima,Mujer
2020,10101,4,2,40,5,4,11,111026,160000004,13,Sierra Norte,Separado,Castellano,Maestria/doctorado,Educación Inicial,Universidad Nacional de Trujillo,La Libertad,Mujer
2020,10501,4,2,49,6,4,10,111026,260000049,15,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Educación Inicial,Universidad Particular Marcelino Champagnat,Lima,Mujer
2020,10203,7,1,52,2,4,10,121256,160000031,14,Selva,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria - Comunicación,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2020,10203,7,2,19,6,4,9,714016,260000072,14,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad Particular Señor de Sipán S.A.C.,Lambayeque,Mujer
2020,10203,7,1,52,3,4,10,715056,160000004,13,Selva,Viudo,Castellano,Superior Universitaria Completa,Tecnología Médica,Universidad Nacional de Trujillo,La Libertad,Hombre
2020,10306,4,2,22,6,4,9,313016,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Psicología,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2020,10306,4,2,22,6,4,9,341116,260000072,14,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Económica,Universidad Particular Señor de Sipán S.A.C.,Lambayeque,Mujer
2020,10306,4,2,40,3,4,10,342056,260000059,15,Sierra Norte,Viudo,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Alas Peruanas,Lima,Mujer
2020,10306,4,1,19,6,4,9,531016,160000031,14,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2020,10306,4,2,22,6,4,9,523026,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2020,10306,4,2,23,6,4,9,714016,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2020,10304,4,2,52,5,4,10,112016,160000031,14,Sierra Norte,Separado,Castellano,Superior Universitaria Completa,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Mujer
2020,21803,2,1,41,6,4,10,321026,260000055,13,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Ciencias de la Comunicación,Universidad Particular del Norte,La Libertad,Hombre
2020,21801,2,1,22,6,4,9,351016,260000053,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Universidad Católica Los Ángeles de Chimbote,Ancash,Hombre
2020,21809,2,1,49,1,4,10,531016,260000052,13,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad Particular César Vallejo,La Libertad,Hombre
2020,21809,2,1,22,6,4,10,521046,260000052,13,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Industrial,Universidad Particular César Vallejo,La Libertad,Hombre
2020,21809,2,2,27,6,4,9,717016,260000053,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Obstetricia,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2020,20801,2,1,31,2,4,10,342056,999999999,98,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Contabilidad,,,Hombre
2020,20801,2,2,27,2,4,10,111026,999999999,98,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Educación Inicial,,,Mujer
2020,20801,2,2,30,1,4,10,342056,260000053,2,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
